type,kalimat
2,Menemukan sesuatu untuk ditonton jika saya bosan
0,Saya merasa kesulitan menulis suatu karya ilmiah tetapi saya pandai berpidato
0,Menggerakkan bibir dan mengucapkan tulisan di buku saat membaca
1,"Berkomunikasi dengan menyentuh dan menghargai dorongan yang diungkapkan secara fisik, seperti tepukan"
2,"Rangkullah pendekatan holistik daripada reduksionis, berusaha memahami seluruh konteks dan hubungan dalam topik."
0,Menyenangi tempat yang sunyi dan tenang untuk belajar
1,"Saat saya berupaya memecahkan masalah, saya membuat model dari masalah tersebut atau menjalani semua langkah dalam pikiran saya"
0,"Memperluas catatan saya dengan berbicara dengan orang lain, dan mengumpulkan catatan dari materi."
2,"Ketika saya mengajari seseorang hal yang baru, saya cenderung menulis instruksi untuk dia"
2,"Jika saya menjelaskan kepada seseorang, saya cenderung menunjukkan kepada mereka apa yang saya maksud"
0,"Saat saya berupaya memecahkan masalah, saya lebih suka untuk melakukan beberapa panggilan telepon dan berbicara dengan teman atau pakar"
1,Saya mempelajari ejaan kata-kata dengan “finger spelling” kata-kata tersebut.
1,"Memanfaatkan alat bantu visual seperti pameran, sampel, foto, video, dan iklan TV untuk meningkatkan pemahaman dan keterlibatan dengan informasi."
0,"Ketika mengoprasikan peralatan baru, saya biasanya mendengarkan penjelasan dari orang yang pernah menggunakan peralatan tersebut"
1,"Saat saya mempelajari keterampilan baru, saya paling nyaman mencobanya sendiri, dan menyelesaikannya sambil jalan."
2,Lebih suka gurauan lisan
0,"Tingkatkan pemahaman dan retensi dengan membaca cerita, tugas, atau arahan dengan lantang, melibatkan pemrosesan pendengaran dan verbal."
1,Saya senang bekerja dengan tangan saya atau membuat sesuatu.
1,Menginjak dan membanting pintu atau melampiaskannya kepada barang adalah hal yang paling mungkin yang saya lakukan saat saya marah
2,Melihat poster yang mengiklankan film lain merupakan hal yang paling mungkin dilakukan saat mengantri di bioskop
1,"Ketika memasak menu baru, saya lebih suka mengikuti insting atau coba-coba sampai berhasil"
0,Ketika saya berbicaram sering dengan intonasi/berirama
0,Cara bicara saya cepat dan senang mendengarkan orang lain berbicara
1,Saya bermain dengan koin atau kunci di saku saya.
2,Menonton TV atau film
2,Sering menjawab pertanyaan dengan jawaban singkat (ya atau tidak)
0,Hal yang paling mungkin yang saya lakukan saat mengantri di bioskop yaitu berbicara dengan orang di sebelah saya
1,"Jika saya mengajar atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung mendemonstrasikannya terlebih dahulu, lalu membiarkan mereka mencobanya."
2,Suka melihat apa yang dipelajari
2,Mencoret-coret kertas
2,"Jika saya memilih makanan dari menu, saya cenderung membayangkan seperti apa makanan itu nantinya."
2,Saya cenderung mengatakan bahwa saya mengerti maksud Anda
2,Tersenyum lebar adalah hal yang paling mungkin yang saya lakukan ketika saya bahagia
2,"Ketika saya hendak memilih makanan yang tertera di daftar menu, saya cenderung membayangkan seperti apa tampilan makanan itu ketikan dihidangkan"
0,"Setelah saya membaca sesuatu, rangkum dan ucapkan dengan lantang."
1,Apakah Anda mengerti konsep dasarnya?
0,"Ketika saya belajar untuk ujian, saya lebih suka seseorang mengajukan pertanyaan, atau mengulangi fakta secara diam-diam kepada diri sendiri."
1,Merasa tidak nyaman di ruang kelas di mana saya kekurangan kesempatan untuk pengalaman langsung
0,Saya lebih senang mendengar kuliah atau ceramah daripada membaca tentang materi yang sama dari buku ajar (textbook).
0,Mempelajari strategi yang tepat
0,Saya merasa cocok dan dekat dengan orang lain karena apa yang mereka katakan pada saya
1,Senang belajar melalui praktik
2,Sering memejamkan mata untuk memvisualisasikan atau mengingat sesuatu
2,Lebih cenderung rapi dan teratur
0,Saya mempunyai lagu khusus yang membangkitkan semangat untuk belajar
2,Sensitif terhadap stimuli visual dan mudah terganggu bila ada gangguan visual
0,"Saya banyak bicara, suka berdiskusi dan menjelaskan panjang lebar"
1,Menghafal dengan cara berjalan dan melihat
2,Mengubah catatan atau informasi yang saya terima menjadi paket yang dapat dipelajari dengan memadatkannya menjadi gambar
1,Hal yang saya ingat jika bertemu kembali dengan seseorang yaitu ingat dengan semua yang dia kerjakan
1,"Manfaatkan ""resep"" atau solusi yang sudah terbukti benar dari pengalaman atau aplikasi sebelumnya sebagai panduan untuk memecahkan masalah atau mengatasi tantangan secara efektif."
0,Jenis seni yang paling saya suka yaitu seni musik
0,Mengingat melalui mendengar
0,Manfaatkan kartu flash untuk mempelajari kata-kata baru dan memperkuat pembelajaran auditori dengan membacanya keras-keras.
2,"Saat bahagia, senyuman lebar akan ditunjukkan oleh saya."
2,"Menggunakan penyorot warna yang berbeda untuk menandai atau mengkategorikan bagian teks tertentu secara selektif, membuatnya lebih mudah untuk mengidentifikasi poin-poin penting."
1,Terlibat dalam diskusi tentang apa yang telah saya pelajari dari sumber media dengan seseorang yang juga memiliki gaya belajar kinestetik.
2,Menggunakan alat bantu visual untuk menjelaskan konsep tersebut kepada orang lain.
0,"Meningkatkan pemahaman dengan menjelaskan ide-ide baru kepada orang lain sambil menggunakan perekam untuk menangkap contoh, cerita, atau lelucon menarik yang dapat membantu mengingat dan memperkuat informasi."
0,Saya mempunyai sekelompok teman untuk belajar kelompok
2,"Saat saya cemas, saya memvisualisasikan skenario terburuk."
1,"Sensasi lain seperti, lapar, sepatu ketat, atau khawatir adalah hal yang paling mengganggu saya saat saya mencoba untuk berkonsentrasi"
0,Senang berpidato/presentasi
0,"Ingat dengan mengucapkan pelajaran kepada diri saya sendiri (jika tidak, mereka mengalami kesulitan membaca peta atau diagram atau menangani tugas konseptual seperti matematika)."
0,Saya mengingat hal-hal terbaik dengan mengatakannya keras-keras atau mengulangi kata-kata dan poin-poin penting di kepala saya
0,Cara belajar dengan mendengar
0,Saya mendengar apa yang kamu katakan.
1,"Saya senang mengisi waktu luang dengan bermain game, dan segala sesuatu yang menggerakkan tangan"
2,"Saya menikmati waktu luang dengan pergi ke mall, cafe, atau tempat rekreasi"
2,"Jika saya harus mengeluh tentang barang yang rusak, saya paling nyaman menulis surat"
2,"Saya sangat menyukai menonton film, foto-foto, barang seni"
0,Belajar dengan mendengarkan dan mengingat apa yang didiskusikan daripada yang dilihat
2,"Jika makanan dipilih dari menu oleh saya, seperti apa makanan itu nantinya akan cenderung dibayangkan oleh saya."
1,Senang belajar di laboratorium dan akan cepat paham jika sudah melakukan
0,Bersenandung atau berbicara sendiri atau orang lain saat bosan
2,Tertarik pada bahasa tertulis atau lisan yang kaya akan citra
2,Skenario terburuk akan divisualisasikan oleh saya saat cemas.
2,"Mengingat kembali ""gambaran"" mental dari catatan, brosur, atau surat langsung untuk mendapatkan detail dan konsep yang relevan."
2,Cara belajar dengan membaca
0,Saya lebih menyukai musik daripada seni rupa
2,"Untuk mempercepat membaca, tipe ini harus mengingat detail kata dan angka yang dibaca."
0,Saya senang belajar dengan cara mendengarkan teman yang sedang membaca keras-keras
1,Memberikan kebebasan bergerak saat mempelajari materi
1,Banyak menggunakan isyarat tubuh
